algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,wall_time_s
0.0,10.139551727913762,4.440892098500626e-16,1.0424990832178849e-16,,9.086775345792875,raw,0.05,89,20dfad1b79a4bf460646e09e5329098cbd0b5c6278343d55ea2d05098b468ebc,4.590290824969264,,,,,,,,,,ThetaStar,93,20dfad1b79a4bf460646e09e5329098cbd0b5c6278343d55ea2d05098b468ebc,1,lower_left_diagonal,True,0.002871536000384367
0.0,1.7735313119510328,0.03151575141014538,0.009413078814448137,,1.962658841685122,simple,0.05,89,d3b93295120292a51a4e5bd1b184c0f5bb6dd2001f10fb91d24708431b8b6b6a,4.554076390670286,,,,,,,,,,ThetaStar,93,20dfad1b79a4bf460646e09e5329098cbd0b5c6278343d55ea2d05098b468ebc,1,lower_left_diagonal,True,0.004025974001706345
0.0,3.130439638043494,0.009063263237212054,0.001836758468207754,,3.2892591539010594,savitzky_golay,0.05,89,7d4c237a554d2aa2b5f44da92ccfebb175d16a4ddd8003ba2e6f07f0d703224d,4.583173644429239,,,,,,,,,,ThetaStar,93,20dfad1b79a4bf460646e09e5329098cbd0b5c6278343d55ea2d05098b468ebc,1,lower_left_diagonal,True,0.0035345819997019134
0.006,2.6785366802196395,0.024906989927903172,0.010084625834016592,,2.145485300112047,constrained,0.05,89,69ece2555b6c25aeebbf6b706d668baf17cb03e8cf7c017ee73b42387efefeea,4.592775760182392,,,,,,,,,,ThetaStar,93,20dfad1b79a4bf460646e09e5329098cbd0b5c6278343d55ea2d05098b468ebc,1,lower_left_diagonal,True,0.006085287999667344
0.0,5.076284181244837,0.021860473809287812,0.010622082447180405,,4.8995157360255055,pivot_g2,0.05,148,9b95a616684303349390a679cc521016ac3cf64539c95902267dfc6667242c8f,4.582064139569124,,,,,,,,,,ThetaStar,93,20dfad1b79a4bf460646e09e5329098cbd0b5c6278343d55ea2d05098b468ebc,1,lower_left_diagonal,True,0.0056447449987899745
0.0,1.7763614716181782e-12,0.0,0.0,,5.9604738034203535e-06,raw,0.05,290,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,7.299999947845938,,,,,,,,,,GridBased,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,1,straight_lower_aisle,True,0.00521198200112849
0.003,5.397380654863941e-14,9.344196971738938e-09,8.933066392227504e-10,,6.392212981154437e-07,simple,0.05,290,91ee51f8939ae83354405ee1b2d9ffdd35d275ad207b441045bbde3cbde626f0,7.2999999478459365,,,,,,,,,,GridBased,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,1,straight_lower_aisle,True,0.008297454000057769
0.0,2.2284348670517425e-13,6.7243886014978216e-09,5.700390583637994e-10,,1.2809257654566832e-06,savitzky_golay,0.05,290,03db3973afa47bbc07a72a16fa7eff76094d57797268a9f1b3e5c41967deffa9,7.2999999478459365,,,,,,,,,,GridBased,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,1,straight_lower_aisle,True,0.007858678000047803
0.0,1.7763614716181782e-12,0.0,0.0,,5.9604738034203535e-06,constrained,0.05,290,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,7.299999947845938,,,,,,,,,,GridBased,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,1,straight_lower_aisle,True,0.024399432999416604
0.0,5.688865484455407e-26,1.4799098391193866e-08,8.529820412649114e-09,,1.776356839503667e-13,pivot_g2,0.05,147,d0c4b934cab7e7bc2ba152c5bc2239287818340c65b220f11c7ffa9fdb4743a0,7.299999947845936,,,,,,,,,,GridBased,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,1,straight_lower_aisle,True,0.006660085999101284
0.0,46.04737177855979,2.220446049250313e-16,9.614813431917819e-17,,11.32726484143173,raw,0.05,157,2d43c8d9d3c601a6b227938a96cbe29dc4f2c79885646818ae388fadd5548ff9,3.9303063373087306,,,,,,,,,,GridBased,80,2d43c8d9d3c601a6b227938a96cbe29dc4f2c79885646818ae388fadd5548ff9,1,crate_detour,True,0.0036509450001176447
0.0,5.792573135688793,0.014006150228471067,0.004051300922205603,,4.166210088815926,simple,0.05,157,2d53437629e44076f24b582e95e30442939d8687229e1470e9eaabb99e263bb9,3.8913501976506355,,,,,,,,,,GridBased,79,2d43c8d9d3c601a6b227938a96cbe29dc4f2c79885646818ae388fadd5548ff9,1,crate_detour,True,0.006563449000168475
0.0,20.00218480760085,0.006266025167069741,0.0014594724677487042,,9.459161511162337,savitzky_golay,0.05,157,fcbd14240f7f112861000830dc40471074305521c7a66d73b26a667a2709eee7,3.9150170690210504,,,,,,,,,,GridBased,80,2d43c8d9d3c601a6b227938a96cbe29dc4f2c79885646818ae388fadd5548ff9,1,crate_detour,True,0.005121010000948445
0.006,14.275235912211157,0.018919539214985136,0.005522689172431453,,11.249075237697724,constrained,0.05,157,66c34c4441b5a2c7ef23af43a2cae5602873f4a8ab4c1f6b915e3765c5e0a3e7,3.921899915417503,,,,,,,,,,GridBased,80,2d43c8d9d3c601a6b227938a96cbe29dc4f2c79885646818ae388fadd5548ff9,1,crate_detour,True,0.009325914999863016
